1,peppers,0,0,0,tomatos,3,0,3,eggplants,3,2,1
2,peppers,0,0,0,tomatos,6,3,3,eggplants,3,2,3
3,peppers,0,0,0,tomatos,4,1,4,eggplants,3,2,3
4,peppers,1,1,1,tomatos,1,1,1,eggplants,1,1,0
5,peppers,10,8,6,tomatos,0,0,0,eggplants,0,0,0
6,peppers,1,1,1,tomatos,3,3,0,eggplants,1,1,0
7,peppers,4,2,2,tomatos,1,1,1,eggplants,1,1,0
8,peppers,5,3,3,tomatos,0,0,0,eggplants,3,2,1
9,peppers,3,2,1,tomatos,3,3,0,eggplants,3,2,3
10,peppers,5,5,5,tomatos,0,0,0,eggplants,0,0,0
11,peppers,2,2,2,tomatos,0,0,0,eggplants,3,2,3
12,peppers,1,1,1,tomatos,4,4,1,eggplants,0,0,0
13,peppers,3,2,1,tomatos,0,0,0,eggplants,3,3,1
14,peppers,4,2,2,tomatos,1,1,1,eggplants,3,2,1
15,peppers,3,2,1,tomatos,4,1,4,eggplants,0,0,0
16,peppers,3,2,1,tomatos,0,0,0,eggplants,5,4,4
17,peppers,0,0,0,tomatos,1,1,1,eggplants,3,3,1
18,peppers,0,0,0,tomatos,3,0,3,eggplants,3,2,3
19,peppers,8,6,6,tomatos,0,0,0,eggplants,2,2,1
20,peppers,5,3,3,tomatos,0,0,0,eggplants,2,2,1
21,peppers,4,2,2,tomatos,0,0,0,eggplants,2,2,0
22,peppers,3,2,1,tomatos,3,3,0,eggplants,3,2,1
23,peppers,4,3,2,tomatos,0,0,0,eggplants,1,1,0
24,peppers,9,9,9,tomatos,0,0,0,eggplants,0,0,0
25,peppers,8,6,6,tomatos,0,0,0,eggplants,1,1,0
26,peppers,3,2,1,tomatos,0,0,0,eggplants,4,3,3
27,peppers,5,3,3,tomatos,3,3,0,eggplants,0,0,0
